Barangay,Drowned by Flood,Number of Population,Households who are Informal settlers,Household living in Makeshift housing,Households Flooded,Households with Cellphones,Households with Computer,Households with Internet Connection,Households with Radio,Households with TV
Alicaocao,0,2129,14,8,39,135,27,18,181,407
Alinam,0,944,0,3,3,53,4,1,103,201
Amobocan,0,849,7,7,10,76,2,1,69,161
Andarayan,0,304,1,2,43,29,1,1,43,65
Baculod,0,1652,7,12,0,151,3,6,207,313
Baringin Norte,0,208,3,0,24,14,3,1,23,38
Baringin Sur,0,853,1,2,1,59,15,7,139,195
Buena Suerte,0,863,1,1,3,59,32,18,124,184
Bugallon,0,507,8,1,8,30,3,0,73,99
Buyon,0,1159,6,6,6,83,0,2,158,233
Cabaruan,0,4199,35,15,10,249,78,62,280,958
Cabugao,0,577,0,4,0,37,2,1,89,125
Carabatan Bacareno,0,230,1,0,38,17,2,2,30,44
Carabatan Chica,0,542,2,0,57,35,5,4,50,98
Carabatan Grande,0,253,1,1,55,20,8,4,32,46
Carabatan Punta,0,399,0,3,83,32,7,6,54,92
Casalatan,0,618,1,1,0,36,2,0,48,116
Cassap Fuera,0,76,0,0,0,4,2,1,14,15
Catalina,0,91,9,0,15,9,0,0,11,16
Culalabat,0,696,1,1,0,59,15,7,93,170
Dabburab,0,1026,12,5,0,70,24,7,167,229
De Vera,0,990,3,3,3,77,4,2,92,173
Dianao,0,583,1,0,0,60,6,4,74,101
Disimuray,0,955,7,2,0,83,0,0,90,195
District I (Pob.),0,10129,73,59,40,759,242,190,544,2280
District II (Pob.),0,2291,24,8,3,231,57,64,155,548
District III (Pob.),0,3997,20,37,59,252,57,40,255,835
Duminit,0,1261,2,5,95,103,1,1,116,245
Gagabutan,0,486,0,0,50,44,5,3,74,122
Gappal,0,2523,8,1,0,245,11,7,280,573
Guayabal,0,1234,5,4,20,69,24,7,140,221
Labinab,0,1499,2,10,34,97,16,8,200,320
Linglingay,0,666,6,6,0,54,6,4,71,115
Mabantad,1,1139,3,4,207,94,13,5,102,216
Maligaya,1,2013,17,7,3,195,7,4,304,394
Manaoag,0,1383,4,6,0,125,3,4,132,282
Marabulig I,0,2948,33,13,7,178,36,22,239,589
Marabulig II,0,1604,3,10,1,102,20,7,148,347
Minante I,0,4048,32,25,5,257,95,64,329,871
Minante II,0,2123,7,23,0,152,22,12,181,391
Naganacan,0,1476,6,11,0,139,7,2,134,293
Nagcampegan,0,347,0,1,75,12,4,3,56,74
Nungnungan I,0,1570,8,6,0,120,5,9,162,337
Nungnungan II,0,898,2,3,0,67,10,4,76,177
Pinoma,0,2461,7,7,14,197,19,9,211,504
Rizal,0,461,0,0,9,29,13,7,63,94
Rogus,0,1488,10,7,2,134,8,2,148,234
San Antonio,0,2080,6,8,6,155,10,7,226,435
San Fermin,0,8155,127,61,16,1033,169,113,509,1752
San Francisco,0,1888,4,6,3,140,12,9,193,414
San Isidro,0,848,15,4,7,76,6,3,91,194
San Luis,0,1857,5,2,96,154,12,5,222,426
San Pablo (Casap Hacienda),0,1467,32,5,7,129,7,2,202,323
Santa Luciana (Daburab 2),0,1777,16,8,3,132,7,6,192,307
Santa Maria,0,775,3,0,2,68,1,1,74,118
Sillawit,0,2561,6,19,8,161,41,37,258,552
Sinippil,0,326,0,0,1,29,0,2,36,59
Tagaran,1,3995,17,25,7,340,64,46,354,870
Turayong,0,2653,25,10,62,152,61,43,327,568
Union,0,1153,6,3,33,90,10,9,120,234
Villa Concepcion,0,2989,19,17,30,287,21,15,316,548
Villa Luna,0,1581,3,10,105,128,33,14,203,308
Villaflor,0,429,4,12,0,40,0,1,38,75
